Name,Link
1000-Channelside-Condo,http://www.city-data.com/neighborhood/1000-Channelside-Condo-Tampa-FL.html
1301-Soho-Condo,http://www.city-data.com/neighborhood/1301-Soho-Condo-Tampa-FL.html
1508-South-Howard-Condo,http://www.city-data.com/neighborhood/1508-South-Howard-Condo-Tampa-FL.html
1611-6th-Avenue-Townhomes,http://www.city-data.com/neighborhood/1611-6th-Avenue-Townhomes-Tampa-FL.html
2002-Dekle-Condo,http://www.city-data.com/neighborhood/2002-Dekle-Condo-Tampa-FL.html
215-Verne-Condo,http://www.city-data.com/neighborhood/215-Verne-Condo-Tampa-FL.html
2513-Maryland-Avenue-Condo,http://www.city-data.com/neighborhood/2513-Maryland-Avenue-Condo-Tampa-FL.html
2515-Maryland-Avenue-Condo,http://www.city-data.com/neighborhood/2515-Maryland-Avenue-Condo-Tampa-FL.html
2518-W-Kansas-Avenue-Condo,http://www.city-data.com/neighborhood/2518-W-Kansas-Avenue-Condo-Tampa-FL.html
2525-Maryland-Avenue-Condo,http://www.city-data.com/neighborhood/2525-Maryland-Avenue-Condo-Tampa-FL.html
2527-Maryland-Avenue-Condo,http://www.city-data.com/neighborhood/2527-Maryland-Avenue-Condo-Tampa-FL.html
2807-Estrella-Avenue-Condo,http://www.city-data.com/neighborhood/2807-Estrella-Avenue-Condo-Tampa-FL.html
301-Mobile-Villa,http://www.city-data.com/neighborhood/301-Mobile-Villa-Tampa-FL.html
3014-Palmira-Office-Condo,http://www.city-data.com/neighborhood/3014-Palmira-Office-Condo-Tampa-FL.html
305-South-Westland-Condo,http://www.city-data.com/neighborhood/305-South-Westland-Condo-Tampa-FL.html
306-South-Fremont-Condo,http://www.city-data.com/neighborhood/306-South-Fremont-Condo-Tampa-FL.html
30th-Street-Professional-Building-Condo,http://www.city-data.com/neighborhood/30th-Street-Professional-Building-Condo-Tampa-FL.html
310-S-Arrawana-Avenue-Condo,http://www.city-data.com/neighborhood/310-S-Arrawana-Avenue-Condo-Tampa-FL.html
311-Gomez-Condo,http://www.city-data.com/neighborhood/311-Gomez-Condo-Tampa-FL.html
3219-Deleon-Street-Condo,http://www.city-data.com/neighborhood/3219-Deleon-Street-Condo-Tampa-FL.html
3221-Deleon-Street-Condo,http://www.city-data.com/neighborhood/3221-Deleon-Street-Condo-Tampa-FL.html
345-Bayshore-Condo,http://www.city-data.com/neighborhood/345-Bayshore-Condo-Tampa-FL.html
4218-W-No-B-Street-Condo,http://www.city-data.com/neighborhood/4218-W-No-B-Street-Condo-Tampa-FL.html
4710-Medical-Arts-Condo,http://www.city-data.com/neighborhood/4710-Medical-Arts-Condo-Tampa-FL.html
5010-Bayshore-Condo,http://www.city-data.com/neighborhood/5010-Bayshore-Condo-Tampa-FL.html
502-North-Armenia-Condo,http://www.city-data.com/neighborhood/502-North-Armenia-Condo-Tampa-FL.html
56th-and-Fletcher-Office-Park,http://www.city-data.com/neighborhood/56th-and-Fletcher-Office-Park-Tampa-FL.html
5700-Mariner-Condo-Apartments-South,http://www.city-data.com/neighborhood/5700-Mariner-Condo-Apartments-South-Tampa-FL.html
5th-Avenue-Lofts-Condo,http://www.city-data.com/neighborhood/5th-Avenue-Lofts-Condo-Tampa-FL.html
9th-Street-Villas-Condo,http://www.city-data.com/neighborhood/9th-Street-Villas-Condo-Tampa-FL.html
A-D-Apartments-Condo,http://www.city-data.com/neighborhood/A-D-Apartments-Condo-Tampa-FL.html
Abbey-Road-at-Old-Hyde-Park-Condo,http://www.city-data.com/neighborhood/Abbey-Road-at-Old-Hyde-Park-Condo-Tampa-FL.html
Aberdeen-On-Glen,http://www.city-data.com/neighborhood/Aberdeen-On-Glen-Tampa-FL.html
Adalia-Bayfront-Condo,http://www.city-data.com/neighborhood/Adalia-Bayfront-Condo-Tampa-FL.html
Adamo-Acres,http://www.city-data.com/neighborhood/Adamo-Acres-Tampa-FL.html
Adams-Place-Map,http://www.city-data.com/neighborhood/Adams-Place-Map-Tampa-FL.html
Addition-Davis-Island,http://www.city-data.com/neighborhood/Addition-Davis-Island-Tampa-FL.html
Additions-to-West-Tampa,http://www.city-data.com/neighborhood/Additions-to-West-Tampa-Tampa-FL.html
Adeste-Condo,http://www.city-data.com/neighborhood/Adeste-Condo-Tampa-FL.html
Airport-Business-Center,http://www.city-data.com/neighborhood/Airport-Business-Center-Tampa-FL.html
Airport-Service-Center,http://www.city-data.com/neighborhood/Airport-Service-Center-Tampa-FL.html
Al-Dana-Park,http://www.city-data.com/neighborhood/Al-Dana-Park-Tampa-FL.html
Al-Mar,http://www.city-data.com/neighborhood/Al-Mar-Tampa-FL.html
Alabany-Place-Condo,http://www.city-data.com/neighborhood/Alabany-Place-Condo-Tampa-FL.html
Albany-Villas-Townhomes,http://www.city-data.com/neighborhood/Albany-Villas-Townhomes-Tampa-FL.html
Alcazar-Condo,http://www.city-data.com/neighborhood/Alcazar-Condo-Tampa-FL.html
Alexandria-Place,http://www.city-data.com/neighborhood/Alexandria-Place-Tampa-FL.html
Alice-Heights,http://www.city-data.com/neighborhood/Alice-Heights-Tampa-FL.html
Alice-Kelly-s,http://www.city-data.com/neighborhood/Alice-Kelly-s-Tampa-FL.html
All-Bright-Shores,http://www.city-data.com/neighborhood/All-Bright-Shores-Tampa-FL.html
Allerton-Park,http://www.city-data.com/neighborhood/Allerton-Park-Tampa-FL.html
Alma-Heights,http://www.city-data.com/neighborhood/Alma-Heights-Tampa-FL.html
Alman-s-Acres,http://www.city-data.com/neighborhood/Alman-s-Acres-Tampa-FL.html
Alta-Vista,http://www.city-data.com/neighborhood/Alta-Vista-Tampa-FL.html
Alta-Vista-Tracts,http://www.city-data.com/neighborhood/Alta-Vista-Tracts-Tampa-FL.html
