,Unnamed: 0,Area,Average_household_size,Average_number_of_vehicles_per_apartment,Average_number_of_vehicles_per_house_condo,Median_age_of_females,Median_age_of_males,Median_household_income,Median_rent,Neighborhood_Name,Percentage_of_family_households,Percentage_of_foreign_born_residents,Percentage_of_married_couple_families,Percentage_of_married_couple_families_with_children,Percentage_of_native_residents_born_outside_the_US,Percentage_of_never_married_females_Over_15,Percentage_of_never_married_males_Over_15,Percentage_of_people_born_in_another_state,Percentage_of_people_born_in_the_state,Percentage_of_people_that_do_not_speak_english,Percentage_of_single_mother_households,Percentage_of_units_with_a_mortgage,Population,Population_density,Population_of_males,Address,coords,lat,lon
0,12,0.017,37.0,1.2,1.6,27.8,25.6,34397,744,301 Mobile Villa,56.8,12.5,37.1,21.0,7.8,22.8,20.5,32.5,47.2,0.0,11.7,69.1,27,1565,14,"301 Mobile Villa,Tampa,FL","(27.990603, -82.44091)",27.990603,-82.44091
1,21,0.005,1.9,1.6,1.7,26.8,40.4,94049,1267,345 Bayshore Condo,27.1,8.3,26.5,20.0,3.0,28.7,26.3,58.5,30.1,0.0,21.4,89.7,21,4316,9,"345 Bayshore Condo,Tampa,FL","(27.9393289, -82.4620785552162)",27.9393289,-82.4620785552162
3,29,0.002,2.5,1.1,1.4,36.3,43.8,35375,641,9th Street Villas Condo,49.6,19.3,36.8,11.6,11.3,23.4,13.1,24.1,45.3,0.0,25.6,54.5,4,1853,2,"9th Street Villas Condo,Tampa,FL","(27.9617051, -82.4456863)",27.9617051,-82.4456863
4,34,0.092,3.7,1.0,2.0,55.1,51.1,38596,854,Adamo Acres,48.9,32.6,42.9,16.8,4.3,20.2,18.9,19.8,43.4,22.6,10.4,52.5,221,2412,110,"Adamo Acres,Tampa,FL","(27.9553849, -82.4454162)",27.9553849,-82.4454162
7,38,0.003,2.3,0.8,1.9,41.4,42.3,82750,1752,Adeste Condo,44.5,5.8,42.6,35.6,8.2,7.2,7.6,47.9,38.0,0.0,6.9,63.4,13,4972,6,"Adeste Condo,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
8,39,0.002,2.2,0.5,2.2,40.5,35.5,17222,537,Airport Business Center,49.3,36.4,29.9,21.0,8.1,8.4,28.1,21.9,33.6,0.0,27.8,39.1,2,1031,1,"Airport Business Center,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
9,40,0.128,2.4,2.1,1.8,35.6,38.4,52277,762,Airport Service Center,36.5,37.6,37.0,11.2,11.3,8.2,31.9,22.4,28.7,17.9,4.7,61.5,37,290,18,"Airport Service Center,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
10,42,0.105,32.2,1.8,1.7,60.5,60.7,101461,793,Al Mar,38.8,10.9,42.7,31.5,2.1,21.2,17.5,48.8,38.3,4.9,18.8,59.6,156,1492,67,"Al Mar,Tampa,FL","(28.07809, -82.472169)",28.07809,-82.472169
11,47,0.015,12.1,1.4,1.7,38.2,41.2,40590,665,Alice Heights,43.7,14.8,34.8,23.1,5.7,30.1,12.4,33.1,46.4,5.4,6.6,68.5,98,6709,36,"Alice Heights,Tampa,FL","(27.9108241, -82.4538041)",27.9108241,-82.4538041
12,48,0.043,1.3,1.2,1.6,29.3,35.2,52778,911,Alice Kelly s,20.7,10.7,10.7,56.5,5.3,34.9,32.0,55.9,28.0,0.0,102.7,36.8,44,1020,21,"Alice Kelly s,Tampa,FL","(27.860092, -82.350589)",27.860092,-82.350589
13,49,0.02,2.1,4.7,1.5,55.5,43.2,56944,759,All Bright Shores,33.7,15.3,48.5,47.5,8.8,2.4,23.9,39.7,36.2,13.3,22.2,61.6,47,2322,30,"All Bright Shores,Tampa,FL","(27.9128145, -82.4492677)",27.9128145,-82.4492677
14,50,0.012,27.0,1.2,2.3,41.4,42.5,47869,1054,Allerton Park,25.1,18.5,25.1,49.8,5.5,3.2,24.2,46.2,29.8,0.0,27.7,81.3,22,1873,12,"Allerton Park,Tampa,FL","(27.9108241, -82.4538041)",27.9108241,-82.4538041
15,51,0.004,2.5,0.8,1.6,31.7,31.6,28750,844,Alma Heights,62.3,4.0,35.7,6.1,3.0,24.9,21.6,26.6,66.4,0.0,39.5,44.4,3,775,1,"Alma Heights,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
16,52,0.013999999999999999,2.2,1.1,14.0,29.4,27.6,38214,773,Alman s Acres,40.0,15.7,19.8,15.7,8.2,26.3,23.9,35.7,40.4,3.2,29.5,25.5,70,4987,34,"Alman s Acres,Tampa,FL","(27.9108241, -82.4538041)",27.9108241,-82.4538041
17,53,0.006,2.2,1.1,1.8,34.4,35.2,60000,900,Alta Vista,46.8,18.2,36.1,22.4,0.7,15.1,20.9,34.2,46.9,3.3,4.5,84.4,34,5284,17,"Alta Vista,Tampa,FL","(27.9980049, -82.493782)",27.9980049,-82.493782
21,58,0.01,2.9,1.0,1.9,33.2,35.6,27419,825,Amber Place,53.1,18.2,30.7,12.5,6.9,21.7,21.1,19.7,55.2,3.1,18.7,67.5,69,7052,33,"Amber Place,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
22,59,0.016,1.7,1.0,1.0,51.5,34.6,31618,853,Amberly Oaks Townhomes,32.3,31.2,20.6,88.3,11.6,3.0,43.8,31.2,26.0,13.0,58.9,45.1,23,1458,14,"Amberly Oaks Townhomes,Tampa,FL","(28.0905281, -82.3947653)",28.0905281,-82.3947653
23,60,0.006999999999999999,3.2,0.8,1.7,26.0,20.8,24554,656,American,67.3,6.4,8.7,4.4,3.4,46.4,30.7,13.8,76.4,3.4,27.1,59.6,36,5481,14,"American,Tampa,FL","(27.94373245, -82.444091422727)",27.94373245,-82.444091422727
